Taxon,High_change,Orig_high_limit,Litter_size,Litters_per_yr,Young_per_yr,Mass_g,Longevity_yrs,Bio1_mean,Bio1_std,Rangesize_km2,Daily01,Annual01,Food01,Daily_rhythm,Daily_rhythm_code,Annual_rhythm,Annual_rhythm_code,Food,Food_code,High_change_pfa2
Chaetodipus_californicus,800,914,4,2,6,25,1,15.16,2.38,115948.81,0,0,0,noct,0,nonhib,2,gran,1,1
Dipodomys_heermanni,-293,1025,3,2,5,70,3,14.85,3.33,70208.98,0,0,0,noct,0,nonhib,2,gran,1,0
Marmota_flaviventris,0,3353,5,1,5,4500,5,8.65,4.9,1718221.09,0,0,0,diur,1,oblhib,0,herb,2,0
Microtus_californicus,505,1160,6,4,24,60,0.5,14.57,2.84,307454.13,1,0,0,both,2,nonhib,2,herb,2,1
Microtus_longicaudus,0,3287,4,3,12,65,0.5,11.09,5.1,4021429.02,1,0,0,both,2,nonhib,2,herb,2,0
Microtus_montanus,0,3155,6,4,24,45,0.5,8.83,4.23,1453047.36,1,0,0,both,2,nonhib,2,herb,2,0
Neotoma_cinerea,-719,3287,4,2,8,450,3,10.06,4.83,3608284.27,0,0,0,noct,0,nonhib,2,herb,2,0
Neotoma_macrotis,67,1646,3,1,3,350,3,14.58,2.18,156544.86,0,0,0,noct,0,nonhib,2,herb,2,1
Ochotona_princeps,0,3871,4,2,6,130,3,7.39,5.21,1345845.45,0,0,0,diur,1,nonhib,2,herb,2,0
Peromyscus_boylii,0,2469,3,2,6,24,1,13.81,3.88,2530116.48,0,0,0,noct,0,nonhib,2,gran,1,0
Peromyscus_maniculatus,0,3287,4,3,12,18,0.5,13.03,5.82,12998752.85,0,0,1,noct,0,nonhib,2,omni,3,0
Peromyscus_truei,589,1220,4,2,8,30,0.5,13.61,4.05,2126081.38,0,0,1,noct,0,nonhib,2,omni,3,1
Reithrodontomys_megaloti,112,1160,4,2,8,10,0.5,14.88,2.68,5116675.35,0,0,1,noct,0,nonhib,2,omni,3,1
Sorex_monticolus,0,3287,6,2,9,4,0.5,11.03,4.98,4489387.88,1,0,0,both,2,nonhib,2,inse,0,0
Sorex_ornatus,0,914,5,2,8,4,0.5,14.27,2.84,194180.74,1,0,0,both,2,nonhib,2,inse,0,0
Sorex_palustris,0,3155,6,2,12,15,0.5,14.54,2.39,6210474.39,1,0,0,both,2,nonhib,2,inse,0,0
Sorex_trowbridgii,0,2286,4,2,8,6,0.5,12.91,4.06,377585.55,1,0,0,both,2,nonhib,2,inse,0,0
Spermophilus_beecheyi,-250,2734,6,1,6,700,3,14.13,3.6,458565.68,0,0,1,diur,1,oblhib,0,omni,3,0
Spermophilus_beldingi,0,3287,6,1,6,300,3,8.99,5.22,337682.97,0,0,0,diur,1,oblhib,0,herb,2,0
Spermophilus_lateralis,0,3200,4,1,4,250,3,9.08,4.58,1704567.77,0,0,1,diur,1,oblhib,0,omni,3,0
Tamias_alpinus,0,3353,4,1,4,35,2,8.13,6.56,8863.82,0,1,0,diur,1,fachib,1,gran,1,0
Tamias_quadrimaculatus,50,2210,4,1,4,80,2,10.25,4.25,25543.1,0,1,0,diur,1,fachib,1,gran,1,1
Tamias_senex,-334,2743,4,1,4,80,2,9.7,4.53,99354.04,0,1,0,diur,1,fachib,1,gran,1,0
Tamias_speciosus,65,3155,4,1,4,50,2,10.11,4.95,67799.88,0,1,0,diur,1,fachib,1,gran,1,1
Tamiasciurus_douglasi,0,3185,5,2,8,250,4,7.19,2.75,491390.26,0,0,0,diur,1,nonhib,2,gran,1,0
Thomomys_bottae,0,1676,6,2,12,120,2,15.2,3.59,1541296.47,1,0,0,both,2,nonhib,2,herb,2,0
Thomomys_monticola,0,3155,4,1,4,90,2,9.44,4.71,52696.53,1,0,0,both,2,nonhib,2,herb,2,0
Zapus_princeps,-64,3185,4,1,4,30,2,10.01,4.75,3363375.21,0,0,1,noct,0,oblhib,0,omni,3,0